id,name,type1,type2,base_stat_total
205,forretress,bug,steel,465
206,dunsparce,normal,,415
207,gligar,ground,flying,430
208,steelix,steel,ground,510
209,snubbull,fairy,,300
210,granbull,fairy,,450
211,qwilfish,water,poison,440
212,scizor,bug,steel,500
213,shuckle,bug,rock,505
214,heracross,bug,fighting,500
215,sneasel,dark,ice,430
216,teddiursa,normal,,330
217,ursaring,normal,,500
218,slugma,fire,,250
219,magcargo,fire,rock,430
220,swinub,ice,ground,250
221,piloswine,ice,ground,450
222,corsola,water,rock,410
223,remoraid,water,,300
224,octillery,water,,480
225,delibird,ice,flying,330
226,mantine,water,flying,485
227,skarmory,steel,flying,465
228,houndour,dark,fire,330
229,houndoom,dark,fire,500
230,kingdra,water,dragon,540
231,phanpy,ground,,330
232,donphan,ground,,500
233,porygon2,normal,,515
234,stantler,normal,,465
235,smeargle,normal,,250
236,tyrogue,fighting,,210
237,hitmontop,fighting,,455
238,smoochum,ice,psychic,305
239,elekid,electric,,360
240,magby,fire,,365
241,miltank,normal,,490
242,blissey,normal,,540
243,raikou,electric,,580
244,entei,fire,,580
245,suicune,water,,580
246,larvitar,rock,ground,300
247,pupitar,rock,ground,410
248,tyranitar,rock,dark,600
249,lugia,psychic,flying,680
250,ho-oh,fire,flying,680
251,celebi,psychic,grass,600
252,treecko,grass,,310
253,grovyle,grass,,405
254,sceptile,grass,,530
255,torchic,fire,,310
256,combusken,fire,fighting,405
257,blaziken,fire,fighting,530
258,mudkip,water,,310
259,marshtomp,water,ground,405
260,swampert,water,ground,535
261,poochyena,dark,,220
262,mightyena,dark,,420
263,zigzagoon,normal,,240
264,linoone,normal,,420
265,wurmple,bug,,195
266,silcoon,bug,,205
267,beautifly,bug,flying,395
268,cascoon,bug,,205
269,dustox,bug,poison,385
270,lotad,water,grass,220
271,lombre,water,grass,340
272,ludicolo,water,grass,480
273,seedot,grass,,220
274,nuzleaf,grass,dark,340
275,shiftry,grass,dark,480
276,taillow,normal,flying,270
277,swellow,normal,flying,455
278,wingull,water,flying,270
279,pelipper,water,flying,440
280,ralts,psychic,fairy,198
281,kirlia,psychic,fairy,278
282,gardevoir,psychic,fairy,518
283,surskit,bug,water,269
284,masquerain,bug,flying,454
285,shroomish,grass,,295
286,breloom,grass,fighting,460
287,slakoth,normal,,280
288,vigoroth,normal,,440
289,slaking,normal,,670
290,nincada,bug,ground,266
291,ninjask,bug,flying,456
292,shedinja,bug,ghost,236
293,whismur,normal,,240
294,loudred,normal,,360
295,exploud,normal,,490
296,makuhita,fighting,,237
297,hariyama,fighting,,474
298,azurill,normal,fairy,190
299,nosepass,rock,,375
300,skitty,normal,,260
301,delcatty,normal,,400
302,sableye,dark,ghost,380
303,mawile,steel,fairy,380
304,aron,steel,rock,330
305,lairon,steel,rock,430
306,aggron,steel,rock,530
307,meditite,fighting,psychic,280
308,medicham,fighting,psychic,410
309,electrike,electric,,295
310,manectric,electric,,475
311,plusle,electric,,405
312,minun,electric,,405
313,volbeat,bug,,430
314,illumise,bug,,430
315,roselia,grass,poison,400
316,gulpin,poison,,302
317,swalot,poison,,467
318,carvanha,water,dark,305
319,sharpedo,water,dark,460
320,wailmer,water,,400
321,wailord,water,,500
322,numel,fire,ground,305
323,camerupt,fire,ground,460
324,torkoal,fire,,470
325,spoink,psychic,,330
326,grumpig,psychic,,470
327,spinda,normal,,360
328,trapinch,ground,,290
329,vibrava,ground,dragon,340
330,flygon,ground,dragon,520
331,cacnea,grass,,335
332,cacturne,grass,dark,475
333,swablu,normal,flying,310
334,altaria,dragon,flying,490
335,zangoose,normal,,458
336,seviper,poison,,458
337,lunatone,rock,psychic,460
338,solrock,rock,psychic,460
339,barboach,water,ground,288
340,whiscash,water,ground,468
341,corphish,water,,308
342,crawdaunt,water,dark,468
343,baltoy,ground,psychic,300
344,claydol,ground,psychic,500
345,lileep,rock,grass,355
346,cradily,rock,grass,495
347,anorith,rock,bug,355
348,armaldo,rock,bug,495
349,feebas,water,,200
350,milotic,water,,540
351,castform,normal,,420
352,kecleon,normal,,440
353,shuppet,ghost,,295
354,banette,ghost,,455
355,duskull,ghost,,295
356,dusclops,ghost,,455
357,tropius,grass,flying,460
358,chimecho,psychic,,455
359,absol,dark,,465
360,wynaut,psychic,,260
361,snorunt,ice,,300
362,glalie,ice,,480
363,spheal,ice,water,290
364,sealeo,ice,water,410
365,walrein,ice,water,530
366,clamperl,water,,345
367,huntail,water,,485
368,gorebyss,water,,485
369,relicanth,water,rock,485
370,luvdisc,water,,330
371,bagon,dragon,,300
372,shelgon,dragon,,420
373,salamence,dragon,flying,600
374,beldum,steel,psychic,300
375,metang,steel,psychic,420
376,metagross,steel,psychic,600
377,regirock,rock,,580
378,regice,ice,,580
379,registeel,steel,,580
380,latias,dragon,psychic,600
381,latios,dragon,psychic,600
382,kyogre,water,,670
383,groudon,ground,,670
384,rayquaza,dragon,flying,680
385,jirachi,steel,psychic,600
386,deoxys,psychic,,600
387,turtwig,grass,,318
388,grotle,grass,,405
389,torterra,grass,ground,525
390,chimchar,fire,,309
391,monferno,fire,fighting,405
392,infernape,fire,fighting,534
393,piplup,water,,314
394,prinplup,water,,405
395,empoleon,water,steel,530
396,starly,normal,flying,245
397,staravia,normal,flying,340
398,staraptor,normal,flying,485
399,bidoof,normal,,250
400,bibarel,normal,water,410
401,kricketot,bug,,194
402,kricketune,bug,,384
403,shinx,electric,,263
404,luxio,electric,,363
405,luxray,electric,,523
406,budew,grass,poison,280
407,roserade,grass,poison,515
408,cranidos,rock,,350
409,rampardos,rock,,495
410,shieldon,rock,steel,350
411,bastiodon,rock,steel,495
412,burmy,bug,,224
413,wormadam,bug,grass,424
414,mothim,bug,flying,424
415,combee,bug,flying,244
416,vespiquen,bug,flying,474
417,pachirisu,electric,,405
418,buizel,water,,330
419,floatzel,water,,495
420,cherubi,grass,,275
421,cherrim,grass,,450
422,shellos,water,,325
423,gastrodon,water,ground,475
424,ambipom,normal,,482
425,drifloon,ghost,flying,348
426,drifblim,ghost,flying,498
427,buneary,normal,,350
428,lopunny,normal,,480
429,mismagius,ghost,,495
430,honchkrow,dark,flying,505
431,glameow,normal,,310
432,purugly,normal,,452
433,chingling,psychic,,285
434,stunky,poison,dark,329
435,skuntank,poison,dark,479
436,bronzor,steel,psychic,300
437,bronzong,steel,psychic,500
438,bonsly,rock,,290
439,mime-jr,psychic,fairy,310
440,happiny,normal,,220
441,chatot,normal,flying,411
442,spiritomb,ghost,dark,485
443,gible,dragon,ground,300
444,gabite,dragon,ground,410
445,garchomp,dragon,ground,600
446,munchlax,normal,,390
447,riolu,fighting,,285
448,lucario,fighting,steel,525
449,hippopotas,ground,,330
450,hippowdon,ground,,525
451,skorupi,poison,bug,330
452,drapion,poison,dark,500
453,croagunk,poison,fighting,300
454,toxicroak,poison,fighting,490
455,carnivine,grass,,454
456,finneon,water,,330
457,lumineon,water,,460
458,mantyke,water,flying,345
459,snover,grass,ice,334
460,abomasnow,grass,ice,494
461,weavile,dark,ice,510
462,magnezone,electric,steel,535
463,lickilicky,normal,,515
464,rhyperior,ground,rock,535
465,tangrowth,grass,,535
466,electivire,electric,,540
467,magmortar,fire,,540
468,togekiss,fairy,flying,545
469,yanmega,bug,flying,515
470,leafeon,grass,,525
471,glaceon,ice,,525
472,gliscor,ground,flying,510
473,mamoswine,ice,ground,530
474,porygon-z,normal,,535
475,gallade,psychic,fighting,518
476,probopass,rock,steel,525
477,dusknoir,ghost,,525
478,froslass,ice,ghost,480
479,rotom,electric,ghost,440
480,uxie,psychic,,580
481,mesprit,psychic,,580
482,azelf,psychic,,580
483,dialga,steel,dragon,680
484,palkia,water,dragon,680
485,heatran,fire,steel,600
486,regigigas,normal,,670
487,giratina,ghost,dragon,680
488,cresselia,psychic,,580
489,phione,water,,480
490,manaphy,water,,600
491,darkrai,dark,,600
492,shaymin,grass,,600
493,arceus,normal,,720
494,victini,psychic,fire,600
495,snivy,grass,,308
496,servine,grass,,413
497,serperior,grass,,528
498,tepig,fire,,308
499,pignite,fire,fighting,418
500,emboar,fire,fighting,528
501,oshawott,water,,308
502,dewott,water,,413
503,samurott,water,,528
504,patrat,normal,,255
505,watchog,normal,,420
506,lillipup,normal,,275
507,herdier,normal,,370
508,stoutland,normal,,500
509,purrloin,dark,,281
510,liepard,dark,,446
511,pansage,grass,,316
512,simisage,grass,,498
513,pansear,fire,,316
514,simisear,fire,,498
515,panpour,water,,316
516,simipour,water,,498
517,munna,psychic,,292
518,musharna,psychic,,487
519,pidove,normal,flying,264
520,tranquill,normal,flying,358
521,unfezant,normal,flying,488
522,blitzle,electric,,295
523,zebstrika,electric,,497
524,roggenrola,rock,,280
525,boldore,rock,,390
526,gigalith,rock,,515
527,woobat,psychic,flying,323
528,swoobat,psychic,flying,425
529,drilbur,ground,,328
530,excadrill,ground,steel,508
531,audino,normal,,445
532,timburr,fighting,,305
533,gurdurr,fighting,,405
534,conkeldurr,fighting,,505
535,tympole,water,,294
536,palpitoad,water,ground,384
537,seismitoad,water,ground,509
538,throh,fighting,,465
539,sawk,fighting,,465
540,sewaddle,bug,grass,310
541,swadloon,bug,grass,380
542,leavanny,bug,grass,500
543,venipede,bug,poison,260
544,whirlipede,bug,poison,360
545,scolipede,bug,poison,485
546,cottonee,grass,fairy,280
547,whimsicott,grass,fairy,480
548,petilil,grass,,280
549,lilligant,grass,,480
550,basculin,water,,460
551,sandile,ground,dark,292
552,krokorok,ground,dark,351
553,krookodile,ground,dark,519
554,darumaka,fire,,315
555,darmanitan,fire,,480
556,maractus,grass,,461
557,dwebble,bug,rock,325
558,crustle,bug,rock,485
559,scraggy,dark,fighting,348
560,scrafty,dark,fighting,488
561,sigilyph,psychic,flying,490
562,yamask,ghost,,303
563,cofagrigus,ghost,,483
564,tirtouga,water,rock,355
565,carracosta,water,rock,495
566,archen,rock,flying,401
567,archeops,rock,flying,567
568,trubbish,poison,,329
569,garbodor,poison,,474
570,zorua,dark,,330
571,zoroark,dark,,510
572,minccino,normal,,300
573,cinccino,normal,,470
574,gothita,psychic,,290
575,gothorita,psychic,,390
576,gothitelle,psychic,,490
577,solosis,psychic,,290
578,duosion,psychic,,370
579,reuniclus,psychic,,490
580,ducklett,water,flying,305
581,swanna,water,flying,473
582,vanillite,ice,,305
583,vanillish,ice,,395
584,vanilluxe,ice,,535
585,deerling,normal,grass,335
586,sawsbuck,normal,grass,475
587,emolga,electric,flying,428
588,karrablast,bug,,315
589,escavalier,bug,steel,495
590,foongus,grass,poison,294
591,amoonguss,grass,poison,464
592,frillish,water,ghost,335
593,jellicent,water,ghost,480
594,alomomola,water,,470
595,joltik,bug,electric,319
596,galvantula,bug,electric,472
597,ferroseed,grass,steel,305
598,ferrothorn,grass,steel,489
599,klink,steel,,300
600,klang,steel,,440
601,klinklang,steel,,520
602,tynamo,electric,,275
603,eelektrik,electric,,405
604,eelektross,electric,,515
605,elgyem,psychic,,335
606,beheeyem,psychic,,485
607,litwick,ghost,fire,275
608,lampent,ghost,fire,370
609,chandelure,ghost,fire,520
610,axew,dragon,,320
611,fraxure,dragon,,410
612,haxorus,dragon,,540
613,cubchoo,ice,,305
614,beartic,ice,,505
615,cryogonal,ice,,515
616,shelmet,bug,,305
617,accelgor,bug,,495
618,stunfisk,ground,electric,471
619,mienfoo,fighting,,350
620,mienshao,fighting,,510
621,druddigon,dragon,,485
622,golett,ground,ghost,303
623,golurk,ground,ghost,483
624,pawniard,dark,steel,340
625,bisharp,dark,steel,490
626,bouffalant,normal,,490
627,rufflet,normal,flying,350
628,braviary,normal,flying,510
629,vullaby,dark,flying,370
630,mandibuzz,dark,flying,510
631,heatmor,fire,,484
632,durant,bug,steel,484
633,deino,dark,dragon,300
634,zweilous,dark,dragon,420
635,hydreigon,dark,dragon,600
636,larvesta,bug,fire,360
637,volcarona,bug,fire,550
638,cobalion,steel,fighting,580
639,terrakion,rock,fighting,580
640,virizion,grass,fighting,580
641,tornadus,flying,,580
642,thundurus,electric,flying,580
643,reshiram,dragon,fire,680
644,zekrom,dragon,electric,680
645,landorus,ground,flying,600
646,kyurem,dragon,ice,660
647,keldeo,water,fighting,580
648,meloetta,normal,psychic,600
649,genesect,bug,steel,600
650,chespin,grass,,313
651,quilladin,grass,,405
652,chesnaught,grass,fighting,530
653,fennekin,fire,,307
654,braixen,fire,,409
655,delphox,fire,psychic,534
656,froakie,water,,314
657,frogadier,water,,405
658,greninja,water,dark,530
659,bunnelby,normal,,237
660,diggersby,normal,ground,423
661,fletchling,normal,flying,278
662,fletchinder,fire,flying,382
663,talonflame,fire,flying,499
664,scatterbug,bug,,200
665,spewpa,bug,,213
666,vivillon,bug,flying,411
667,litleo,fire,normal,369
668,pyroar,fire,normal,507
669,flabebe,fairy,,303
670,floette,fairy,,371
671,florges,fairy,,552
672,skiddo,grass,,350
673,gogoat,grass,,531
674,pancham,fighting,,348
675,pangoro,fighting,dark,495
676,furfrou,normal,,472
677,espurr,psychic,,355
678,meowstic,psychic,,466
679,honedge,steel,ghost,325
680,doublade,steel,ghost,448
681,aegislash,steel,ghost,500
682,spritzee,fairy,,341
683,aromatisse,fairy,,462
684,swirlix,fairy,,341
685,slurpuff,fairy,,480
686,inkay,dark,psychic,288
687,malamar,dark,psychic,482
688,binacle,rock,water,306
689,barbaracle,rock,water,500
690,skrelp,poison,water,320
691,dragalge,poison,dragon,494
692,clauncher,water,,330
693,clawitzer,water,,500
694,helioptile,electric,normal,289
695,heliolisk,electric,normal,481
696,tyrunt,rock,dragon,362
697,tyrantrum,rock,dragon,521
698,amaura,rock,ice,362
699,aurorus,rock,ice,521
700,sylveon,fairy,,525
701,hawlucha,fighting,flying,500
702,dedenne,electric,fairy,431
703,carbink,rock,fairy,500
704,goomy,dragon,,300
705,sliggoo,dragon,,452
706,goodra,dragon,,600
707,klefki,steel,fairy,470
708,phantump,ghost,grass,309
709,trevenant,ghost,grass,474
710,pumpkaboo,ghost,grass,335
711,gourgeist,ghost,grass,494
712,bergmite,ice,,304
713,avalugg,ice,,514
714,noibat,flying,dragon,245
715,noivern,flying,dragon,535
716,xerneas,fairy,,680
717,yveltal,dark,flying,680
718,zygarde,dragon,ground,600
719,diancie,rock,fairy,600
720,hoopa,psychic,ghost,600
721,volcanion,fire,water,600
722,rowlet,grass,flying,320
723,dartrix,grass,flying,420
724,decidueye,grass,ghost,530
725,litten,fire,,320
726,torracat,fire,,420
727,incineroar,fire,dark,530
728,popplio,water,,320
729,brionne,water,,420
730,primarina,water,fairy,530
731,pikipek,normal,flying,265
732,trumbeak,normal,flying,355
733,toucannon,normal,flying,485
734,yungoos,normal,,253
735,gumshoos,normal,,418
736,grubbin,bug,,300
737,charjabug,bug,electric,400
738,vikavolt,bug,electric,500
739,crabrawler,fighting,,338
740,crabominable,fighting,ice,478
741,oricorio,fire,flying,476
742,cutiefly,bug,fairy,304
743,ribombee,bug,fairy,464
744,rockruff,rock,,280
745,lycanroc,rock,,487
746,wishiwashi,water,,175
747,mareanie,poison,water,305
748,toxapex,poison,water,495
749,mudbray,ground,,385
750,mudsdale,ground,,500
751,dewpider,water,bug,269
752,araquanid,water,bug,454
753,fomantis,grass,,250
754,lurantis,grass,,480
755,morelull,grass,fairy,285
756,shiinotic,grass,fairy,405
757,salandit,poison,fire,320
758,salazzle,poison,fire,480
759,stufful,normal,fighting,340
760,bewear,normal,fighting,500
761,bounsweet,grass,,210
762,steenee,grass,,290
763,tsareena,grass,,510
764,comfey,fairy,,485
765,oranguru,normal,psychic,490
766,passimian,fighting,,490
767,wimpod,bug,water,230
768,golisopod,bug,water,530
769,sandygast,ghost,ground,320
770,palossand,ghost,ground,480
771,pyukumuku,water,,410
772,type-null,normal,,534
773,silvally,normal,,570
774,minior,rock,flying,440
775,komala,normal,,480
776,turtonator,fire,dragon,485
777,togedemaru,electric,steel,435
778,mimikyu,ghost,fairy,476
779,bruxish,water,psychic,475
780,drampa,normal,dragon,485
781,dhelmise,ghost,grass,517
782,jangmo-o,dragon,,300
783,hakamo-o,dragon,fighting,420
784,kommo-o,dragon,fighting,600
785,tapu-koko,electric,fairy,570
786,tapu-lele,psychic,fairy,570
787,tapu-bulu,grass,fairy,570
788,tapu-fini,water,fairy,570
789,cosmog,psychic,,200
790,cosmoem,psychic,,400
791,solgaleo,psychic,steel,680
792,lunala,psychic,ghost,680
793,nihilego,rock,poison,570
794,buzzwole,bug,fighting,570
795,pheromosa,bug,fighting,570
796,xurkitree,electric,,570
797,celesteela,steel,flying,570
798,kartana,grass,steel,570
799,guzzlord,dark,dragon,570
800,necrozma,psychic,,600
801,magearna,steel,fairy,600
802,marshadow,fighting,ghost,600
803,poipole,poison,,420
804,naganadel,poison,dragon,540
805,stakataka,rock,steel,570
806,blacephalon,fire,ghost,570
807,zeraora,electric,,600
808,meltan,steel,,300
809,melmetal,steel,,600
810,grookey,grass,,310
811,thwackey,grass,,420
812,rillaboom,grass,,530
813,scorbunny,fire,,310
814,raboot,fire,,420
815,cinderace,fire,,530
816,sobble,water,,310
817,drizzile,water,,420
818,inteleon,water,,530
819,skwovet,normal,,275
820,greedent,normal,,460
821,rookidee,flying,,245
822,corvisquire,flying,,365
823,corviknight,flying,steel,495
824,blipbug,bug,,180
825,dottler,bug,psychic,335
826,orbeetle,bug,psychic,505
827,nickit,dark,,245
828,thievul,dark,,455
829,gossifleur,grass,,250
830,eldegoss,grass,,460
831,wooloo,normal,,270
832,dubwool,normal,,490
833,chewtle,water,,284
834,drednaw,water,rock,485
835,yamper,electric,,270
836,boltund,electric,,490
837,rolycoly,rock,,240
838,carkol,rock,fire,410
839,coalossal,rock,fire,510
840,applin,grass,dragon,260
841,flapple,grass,dragon,485
842,appletun,grass,dragon,485
843,silicobra,ground,,315
844,sandaconda,ground,,510
845,cramorant,flying,water,475
846,arrokuda,water,,280
847,barraskewda,water,,490
848,toxel,electric,poison,242
849,toxtricity,electric,poison,502
850,sizzlipede,fire,bug,305
851,centiskorch,fire,bug,525
852,clobbopus,fighting,,310
853,grapploct,fighting,,480
854,sinistea,ghost,,308
855,polteageist,ghost,,508
856,hatenna,psychic,,265
857,hattrem,psychic,,370
858,hatterene,psychic,fairy,510
859,impidimp,dark,fairy,265
860,morgrem,dark,fairy,370
861,grimmsnarl,dark,fairy,510
862,obstagoon,dark,normal,520
863,perrserker,steel,,440
864,cursola,ghost,,510
865,sirfetchd,fighting,,507
866,mr-rime,ice,psychic,520
867,runerigus,ground,ghost,483
868,milcery,fairy,,270
869,alcremie,fairy,,495
870,falinks,fighting,,470
871,pincurchin,electric,,435
872,snom,ice,bug,185
873,frosmoth,ice,bug,475
874,stonjourner,rock,,470
875,eiscue,ice,,470
876,indeedee,psychic,normal,475
877,morpeko,electric,dark,436
878,cufant,steel,,330
879,copperajah,steel,,500
880,dracozolt,electric,dragon,505
881,arctozolt,electric,ice,505
882,dracovish,water,dragon,505
883,arctovish,water,ice,505
884,duraludon,steel,dragon,535
885,dreepy,dragon,ghost,270
886,drakloak,dragon,ghost,410
887,dragapult,dragon,ghost,600
888,zacian,fairy,,660
889,zamazenta,fighting,,660
890,eternatus,poison,dragon,690
891,kubfu,fighting,,385
892,urshifu,fighting,dark,550
893,zarude,dark,grass,600
894,regieleki,electric,,580
895,regidrago,dragon,,580
896,glastrier,ice,,580
897,spectrier,ghost,,580
898,calyrex,psychic,grass,500
899,wyrdeer,normal,psychic,525
900,kleavor,bug,rock,500
901,ursaluna,ground,normal,550
902,basculegion,water,ghost,530
903,sneasler,fighting,poison,510
904,overqwil,dark,poison,510
905,enamorus,fairy,flying,580
906,sprigatito,grass,,310
907,floragato,grass,,410
908,meowscarada,grass,dark,530
909,fuecoco,fire,,310
910,crocalor,fire,,411
911,skeledirge,fire,ghost,530
912,quaxly,water,,310
913,quaxwell,water,,410
914,quaquaval,water,fighting,530
915,lechonk,normal,,254
916,oinkologne,normal,,489
917,tarountula,bug,,210
918,spidops,bug,,404
919,nymble,bug,,210
920,lokix,bug,dark,450
921,pawmi,electric,,240
922,pawmo,electric,fighting,350
923,pawmot,electric,fighting,490
924,tandemaus,normal,,305
925,maushold,normal,,470
926,fidough,fairy,,312
927,dachsbun,fairy,,477
928,smoliv,grass,normal,260
929,dolliv,grass,normal,354
930,arboliva,grass,normal,510
931,squawkabilly,normal,flying,417
932,nacli,rock,,280
933,naclstack,rock,,355
934,garganacl,rock,,500
935,charcadet,fire,,255
936,armarouge,fire,psychic,525
937,ceruledge,fire,ghost,525
938,tadbulb,electric,,272
939,bellibolt,electric,,495
940,wattrel,electric,flying,280
941,kilowattrel,electric,flying,490
942,maschiff,dark,,340
943,mabosstiff,dark,,505
944,shroodle,poison,normal,290
945,grafaiai,poison,normal,485
946,bramblin,grass,ghost,275
947,brambleghast,grass,ghost,480
948,toedscool,ground,grass,335
949,toedscruel,ground,grass,515
950,klawf,rock,,450
951,capsakid,grass,,304
952,scovillain,grass,fire,486
953,rellor,bug,,270
954,rabsca,bug,psychic,470
955,flittle,psychic,,255
956,espathra,psychic,,481
957,tinkatink,fairy,steel,297
958,tinkatuff,fairy,steel,380
959,tinkaton,fairy,steel,506
960,wiglett,water,,245
961,wugtrio,water,,425
962,bombirdier,flying,dark,485
963,finizen,water,,315
964,palafin,water,,457
965,varoom,steel,poison,300
966,revavroom,steel,poison,500
967,cyclizar,dragon,normal,501
968,orthworm,steel,,480
969,glimmet,rock,poison,350
970,glimmora,rock,poison,525
971,greavard,ghost,,290
972,houndstone,ghost,,488
973,flamigo,flying,fighting,500
974,cetoddle,ice,,334
975,cetitan,ice,,521
976,veluza,water,psychic,478
977,dondozo,water,,530
978,tatsugiri,dragon,water,475
979,annihilape,fighting,ghost,535
980,clodsire,poison,ground,430
981,farigiraf,normal,psychic,520
982,dudunsparce,normal,,520
983,kingambit,dark,steel,550
984,great-tusk,ground,fighting,570
985,scream-tail,fairy,psychic,570
986,brute-bonnet,grass,dark,570
987,flutter-mane,ghost,fairy,570
988,slither-wing,bug,fighting,570
989,sandy-shocks,electric,ground,570
990,iron-treads,ground,steel,570
991,iron-bundle,ice,water,570
992,iron-hands,fighting,electric,570
993,iron-jugulis,dark,flying,570
994,iron-moth,fire,poison,570
995,iron-thorns,rock,electric,570
996,frigibax,dragon,ice,320
997,arctibax,dragon,ice,423
998,baxcalibur,dragon,ice,600
