word,level,pattern,letters,syllables,compound_parts,also_matches,used_in_items,previous_level,review
carpeting,8,Compound words,9,3,carpet + ing,r-controlled,4,,
carrot,7,R-controlled,6,2,,r-controlled,2,,
cart,7,R-controlled,4,1,,r-controlled,2,7,
carved,7,R-controlled,6,2,,r-controlled,4,,
cascade,9,Multisyllabic,7,2,,silent-e,1,,
case,5,Silent-e,4,1,,silent-e,1,,
cash,4,Digraphs,4,1,,digraph,1,,
castform,8,Compound words,8,2,cast + form,r-controlled,1,,
cave,5,Silent-e,4,1,,silent-e,4,,
cd,9,Multisyllabic,2,1,,,3,,
ceiling,9,Multisyllabic,7,2,,,1,,
cell,2,Floss doubles,4,1,,floss,2,,
cerulean,9,Multisyllabic,8,3,,"r-controlled, vowel-team",1,,
chain,4,Digraphs,5,1,,"digraph, vowel-team",1,,
chair,4,Digraphs,5,1,,"digraph, r-controlled, vowel-team",18,,
chambers,4,Digraphs,8,2,,"digraph, r-controlled",1,,
chandelier,4,Digraphs,10,3,,"digraph, r-controlled, vowel-team",1,,
chansey,4,Digraphs,7,2,,"digraph, vowel-team",1,,
charcoal,4,Digraphs,8,2,,"digraph, r-controlled, vowel-team",1,4,
charging,4,Digraphs,8,2,,"digraph, r-controlled",1,,
charizard,4,Digraphs,9,3,,"digraph, r-controlled",1,,
charm,4,Digraphs,5,1,,"digraph, r-controlled",1,,
chest,4,Digraphs,5,1,,digraph,2,,
chesto,4,Digraphs,6,2,,digraph,1,,
chic,4,Digraphs,4,1,,digraph,3,,
chili,4,Digraphs,5,2,,digraph,1,,
chocolate,4,Digraphs,9,3,,"digraph, silent-e",1,,
circle,7,R-controlled,6,2,,r-controlled,1,,
city,9,Multisyllabic,4,2,,,14,,
claw,6,Vowel teams,4,1,,"vowel-team, blend",1,,
clay,6,Vowel teams,4,1,,"vowel-team, blend",3,6,
cleaning,8,Compound words,8,2,clean + ing,"vowel-team, blend",1,,
clear,7,R-controlled,5,1,,"r-controlled, vowel-team, blend",2,,
clefairy,9,Multisyllabic,8,3,,"r-controlled, vowel-team, blend",1,,
cliff,3,Consonant blends,5,1,,"blend, floss",8,,
clock,3,Consonant blends,5,1,,blend,4,,
closet,3,Consonant blends,6,2,,blend,2,,
cloth,4,Digraphs,5,1,,"digraph, blend",1,,
cloud,6,Vowel teams,5,1,,"vowel-team, blend",1,,
cluster,7,R-controlled,7,2,,"r-controlled, blend",2,,
coarse,7,R-controlled,6,1,,"r-controlled, vowel-team",2,,
coat,6,Vowel teams,4,1,,vowel-team,1,,
cobblestone,9,Multisyllabic,11,3,,silent-e,1,,
coffee,6,Vowel teams,6,2,,vowel-team,1,,
column,9,Multisyllabic,6,2,,,1,,
common,8,Compound words,6,2,com + mon,,1,,
community,8,Compound words,9,4,comm + unity,,1,,
computer,9,Multisyllabic,8,3,,r-controlled,1,9,
concert,7,R-controlled,7,2,,r-controlled,1,,
concrete,9,Multisyllabic,8,2,,silent-e,6,9,
conditioner,9,Multisyllabic,11,4,,r-controlled,1,,
cone,5,Silent-e,4,1,,silent-e,1,,
construction,8,Compound words,12,3,construct + ion,,1,,
contest,8,Compound words,7,2,con + test,,1,,
control,9,Multisyllabic,7,2,,,1,,
cookies,6,Vowel teams,7,2,,vowel-team,1,,
cooking,8,Compound words,7,2,cook + ing,vowel-team,5,,
cool,6,Vowel teams,4,1,,vowel-team,2,,
cooled,6,Vowel teams,6,2,,vowel-team,1,,
copper,7,R-controlled,6,2,,r-controlled,2,,
cords,7,R-controlled,5,1,,r-controlled,1,,
corkboard,8,Compound words,9,2,cork + board,"r-controlled, vowel-team",1,8,
corner,7,R-controlled,6,2,,r-controlled,1,,
corrugated,9,Multisyllabic,10,4,,r-controlled,1,,
cottage,9,Multisyllabic,7,2,,silent-e,8,,
cotton,9,Multisyllabic,6,2,,,1,,
counter,7,R-controlled,7,2,,"r-controlled, vowel-team",2,7,
cover,7,R-controlled,5,2,,r-controlled,1,,
cracked,3,Consonant blends,7,2,,blend,1,,
crate,5,Silent-e,5,1,,"silent-e, blend",2,,
cream,6,Vowel teams,5,1,,"vowel-team, blend",1,,
crisscross,3,Consonant blends,10,2,,"blend, floss",1,,
crouton,6,Vowel teams,7,2,,"vowel-team, blend",1,,
crushed,4,Digraphs,7,2,,"digraph, blend",1,,
crystal,3,Consonant blends,7,2,,blend,6,,
cube,5,Silent-e,4,1,,silent-e,2,,
cups,1,Short-vowel CVC,4,1,,,1,,
curry,7,R-controlled,5,2,,r-controlled,2,,
curved,7,R-controlled,6,2,,r-controlled,1,,
cushion,4,Digraphs,7,2,,digraph,2,,
cushy,4,Digraphs,5,2,,digraph,1,,
cute,5,Silent-e,4,1,,silent-e,7,,
cutout,8,Compound words,6,2,cut + out,vowel-team,1,,
cutting,9,Multisyllabic,7,2,,,1,,
cyan,9,Multisyllabic,4,1,,,1,,
cyber,7,R-controlled,5,2,,r-controlled,1,,
damaged,8,Compound words,7,3,dam + aged,,5,,
damp,1,Short-vowel CVC,4,1,,,2,,
dance,9,Multisyllabic,5,1,,,2,,
dandy,9,Multisyllabic,5,2,,,1,,
dark,7,R-controlled,4,1,,r-controlled,1,,
debris,9,Multisyllabic,6,2,,,1,,
deck,1,Short-vowel CVC,4,1,,,1,,
decoration,9,Multisyllabic,10,4,,r-controlled,6,,
decorative,9,Multisyllabic,10,4,,"silent-e, r-controlled",1,,
demolition,9,Multisyllabic,10,4,,,1,,
den,1,Short-vowel CVC,3,1,,,4,,
dense,9,Multisyllabic,5,1,,,1,,
deposit,9,Multisyllabic,7,3,,,2,,
design,9,Multisyllabic,6,2,,,1,,
desk,1,Short-vowel CVC,4,1,,,4,,
destiny,8,Compound words,7,3,des + tiny,,1,,
diagonal,9,Multisyllabic,8,3,,,1,,
dice,5,Silent-e,4,1,,silent-e,1,,
diffuser,8,Compound words,8,3,diff + user,r-controlled,1,,
dining,9,Multisyllabic,6,2,,,1,,
diploma,9,Multisyllabic,7,3,,,1,9,
dish,4,Digraphs,4,1,,digraph,1,,
ditto,9,Multisyllabic,5,2,,,3,,
doll,2,Floss doubles,4,1,,floss,7,,
door,7,R-controlled,4,1,,"r-controlled, vowel-team",8,,
doors,7,R-controlled,5,1,,"r-controlled, vowel-team",1,,
dormered,9,Multisyllabic,8,3,,r-controlled,1,,
double,6,Vowel teams,6,2,,vowel-team,1,,
dowsing,8,Compound words,7,2,dow + sing,vowel-team,2,,
dragon,3,Consonant blends,6,2,,blend,1,,
dragonite,9,Multisyllabic,9,3,,"silent-e, blend",1,,
dresser,7,R-controlled,7,2,,"r-controlled, blend",3,,
driftveil,3,Consonant blends,9,2,,blend,1,,
driftwood,8,Compound words,9,2,drift + wood,"vowel-team, blend",1,8,
drink,3,Consonant blends,5,1,,blend,1,,
drum,3,Consonant blends,4,1,,blend,2,,
dry,3,Consonant blends,3,1,,blend,8,,
duckweed,8,Compound words,8,2,duck + weed,vowel-team,2,8,
earth,4,Digraphs,5,1,,"digraph, r-controlled, vowel-team",1,,
eave,5,Silent-e,4,1,,"silent-e, vowel-team",1,,
ecruteak,9,Multisyllabic,8,3,,vowel-team,1,,
eerie,7,R-controlled,5,2,,"r-controlled, vowel-team",1,,
eevee,6,Vowel teams,5,2,,vowel-team,1,,
egg,9,Multisyllabic,3,1,,,1,,
electric,9,Multisyllabic,8,3,,,1,,
electrifying,9,Multisyllabic,12,4,,,1,,
elegant,9,Multisyllabic,7,3,,,1,,
elevator,9,Multisyllabic,8,4,,r-controlled,1,,
emblem,9,Multisyllabic,6,2,,,1,,
enclosure,9,Multisyllabic,9,3,,silent-e,2,,
excavation,9,Multisyllabic,10,4,,,1,,
exhibition,8,Compound words,10,4,exhibit + ion,,1,,
experiment,9,Multisyllabic,10,4,,r-controlled,1,,
extender,9,Multisyllabic,8,3,,r-controlled,1,,
extravagant,9,Multisyllabic,11,4,,,2,,
fairy,7,R-controlled,5,2,,"r-controlled, vowel-team",1,,
fan,1,Short-vowel CVC,3,1,,,3,1,
fancy,9,Multisyllabic,5,2,,,2,,
fang,1,Short-vowel CVC,4,1,,,1,,
feather,8,Compound words,7,2,feat + her,"digraph, r-controlled, vowel-team",3,,
felt,1,Short-vowel CVC,4,1,,,1,,
fencing,9,Multisyllabic,7,2,,,4,,
fern,7,R-controlled,4,1,,r-controlled,1,7,
field,6,Vowel teams,5,1,,vowel-team,2,,
fiery,7,R-controlled,5,2,,"r-controlled, vowel-team",1,,
fire,5,Silent-e,4,1,,silent-e,1,,
firepit,8,Compound words,7,3,fire + pit,r-controlled,1,8,
fireplace,8,Compound words,9,3,fire + place,"silent-e, r-controlled",1,,
first,7,R-controlled,5,1,,r-controlled,1,,
fishing,8,Compound words,7,2,fish + ing,digraph,1,,
flag,3,Consonant blends,4,1,,blend,1,,
flame,5,Silent-e,5,1,,"silent-e, blend",2,,
flat,3,Consonant blends,4,1,,blend,5,,
flavorful,9,Multisyllabic,9,3,,"r-controlled, blend",1,,
float,6,Vowel teams,5,1,,"vowel-team, blend",1,,
floodgate,8,Compound words,9,2,flood + gate,"silent-e, vowel-team, blend",1,,
floor,7,R-controlled,5,1,,"r-controlled, vowel-team, blend",1,,
flooring,8,Compound words,8,2,floor + ing,"r-controlled, vowel-team, blend",22,,
flower,7,R-controlled,6,2,,"r-controlled, vowel-team, blend",8,,
flowering,8,Compound words,9,3,flower + ing,"r-controlled, vowel-team, blend",1,,
flowers,7,R-controlled,7,2,,"r-controlled, vowel-team, blend",7,,
flowery,9,Multisyllabic,7,3,,"r-controlled, vowel-team, blend",1,,
fluff,3,Consonant blends,5,1,,"blend, floss",1,3,
fluffy,3,Consonant blends,6,2,,blend,2,,
fluorescent,9,Multisyllabic,11,3,,"r-controlled, blend",1,,
folding,8,Compound words,7,2,fold + ing,,1,,
food,6,Vowel teams,4,1,,vowel-team,2,,
fortree,8,Compound words,7,2,for + tree,"r-controlled, vowel-team",1,,
fossil,9,Multisyllabic,6,2,,,4,,
foundation,9,Multisyllabic,10,3,,vowel-team,1,9,
fountain,6,Vowel teams,8,2,,vowel-team,3,,
fragment,3,Consonant blends,8,2,,blend,3,,
fragments,3,Consonant blends,9,2,,blend,2,,
frame,5,Silent-e,5,1,,"silent-e, blend",3,5,
freezing,6,Vowel teams,8,2,,"vowel-team, blend",1,,
fresh,4,Digraphs,5,1,,"digraph, blend",2,,
fridge,3,Consonant blends,6,1,,blend,1,,
fried,6,Vowel teams,5,1,,"vowel-team, blend",1,,
frying,3,Consonant blends,6,1,,blend,2,,
fuchsia,4,Digraphs,7,2,,digraph,1,,
funky,9,Multisyllabic,5,2,,,1,,
furnace,7,R-controlled,7,2,,"silent-e, r-controlled",3,,
game,5,Silent-e,4,1,,silent-e,3,,
gaming,9,Multisyllabic,6,2,,,5,,
garbage,7,R-controlled,7,2,,"silent-e, r-controlled",4,,
garden,7,R-controlled,6,2,,r-controlled,6,,
garland,7,R-controlled,7,2,,r-controlled,1,,
gate,5,Silent-e,4,1,,silent-e,2,,
generator,9,Multisyllabic,9,4,,r-controlled,1,,
gingham,9,Multisyllabic,7,2,,,1,,
glass,3,Consonant blends,5,1,,"blend, floss",4,3,
glasses,3,Consonant blends,7,2,,blend,1,,
glossy,3,Consonant blends,6,2,,blend,1,,
glowing,8,Compound words,7,2,glow + ing,"vowel-team, blend",2,,
goggles,9,Multisyllabic,7,2,,,1,,
gold,1,Short-vowel CVC,4,1,,,7,,
golden,9,Multisyllabic,6,2,,,1,,
grass,3,Consonant blends,5,1,,"blend, floss",12,,
grate,5,Silent-e,5,1,,"silent-e, blend",2,,
gravel,3,Consonant blends,6,2,,blend,1,3,
gravestone,8,Compound words,10,3,grave + stone,"silent-e, blend",1,8,
gray,6,Vowel teams,4,1,,"vowel-team, blend",3,,
green,6,Vowel teams,5,1,,"vowel-team, blend",8,,
growth,4,Digraphs,6,1,,"digraph, vowel-team, blend",1,,
grubby,3,Consonant blends,6,2,,blend,8,,
guitar,7,R-controlled,6,2,,"r-controlled, vowel-team",2,,
gym,9,Multisyllabic,3,1,,,1,,
hamburger,9,Multisyllabic,9,3,,r-controlled,6,,
hammock,9,Multisyllabic,7,2,,,1,,
handcar,8,Compound words,7,2,hand + car,r-controlled,1,8,
handrail,8,Compound words,8,2,hand + rail,vowel-team,2,8,
hanging,8,Compound words,7,2,hang + ing,,4,,
harbor,7,R-controlled,6,2,,r-controlled,2,,
hard,7,R-controlled,4,1,,r-controlled,1,,
hardwood,8,Compound words,8,2,hard + wood,"r-controlled, vowel-team",1,,
hatch,4,Digraphs,5,1,,digraph,2,,
hay,6,Vowel teams,3,1,,vowel-team,1,,
healthy,4,Digraphs,7,2,,"digraph, vowel-team",2,,
heart,7,R-controlled,5,1,,"r-controlled, vowel-team",1,,
heat,6,Vowel teams,4,1,,vowel-team,1,,
hedge,9,Multisyllabic,5,1,,,4,,
hexagonal,9,Multisyllabic,9,4,,,1,,
hideout,8,Compound words,7,2,hide + out,vowel-team,1,,
hipped,9,Multisyllabic,6,2,,,4,,
holder,7,R-controlled,6,2,,r-controlled,1,,
hole,9,Multisyllabic,4,2,,silent-e,1,,
honey,6,Vowel teams,5,2,,vowel-team,1,6,
hoppip,9,Multisyllabic,6,2,,,1,,
horsea,7,R-controlled,6,2,,"r-controlled, vowel-team",1,,
hot,1,Short-vowel CVC,3,1,,,1,,
houndstooth,4,Digraphs,11,2,,"digraph, vowel-team",1,,
house,5,Silent-e,5,1,,"silent-e, vowel-team",4,,
humidifier,9,Multisyllabic,10,4,,"r-controlled, vowel-team",1,9,
hut,1,Short-vowel CVC,3,1,,,8,,
hydrant,9,Multisyllabic,7,2,,,1,,
ice,5,Silent-e,3,1,,silent-e,4,5,
icicles,9,Multisyllabic,7,3,,,1,9,
icy,9,Multisyllabic,3,2,,,1,,
in,9,Multisyllabic,2,1,,,1,,
indigo,9,Multisyllabic,6,3,,,1,,
industrial,9,Multisyllabic,10,3,,,4,,
inflatable,9,Multisyllabic,10,4,,,2,,
information,9,Multisyllabic,11,4,,r-controlled,1,,
ingot,9,Multisyllabic,5,2,,,3,,
iron,7,R-controlled,4,2,,r-controlled,27,,
jaw,6,Vowel teams,3,1,,vowel-team,1,,
jubilife,9,Multisyllabic,8,3,,silent-e,1,,
juice,5,Silent-e,5,1,,"silent-e, vowel-team",1,,
jumbled,9,Multisyllabic,7,2,,,1,,
jump,1,Short-vowel CVC,4,1,,,1,,
kit,1,Short-vowel CVC,3,1,,,40,,
kitchen,8,Compound words,7,2,kit + chen,digraph,1,,
knitting,9,Multisyllabic,8,2,,,1,,
knot,1,Short-vowel CVC,4,1,,,1,,
lace,5,Silent-e,4,1,,silent-e,1,,
ladder,7,R-controlled,6,2,,r-controlled,2,,
lagging,9,Multisyllabic,7,2,,,1,,
lamp,1,Short-vowel CVC,4,1,,,15,,
lantern,7,R-controlled,7,2,,r-controlled,2,7,
laptop,9,Multisyllabic,6,2,,,1,8,differs
large,7,R-controlled,5,1,,r-controlled,8,,
laser,7,R-controlled,5,2,,r-controlled,1,,
lava,9,Multisyllabic,4,2,,,1,,
leaf,6,Vowel teams,4,1,,vowel-team,7,6,
leafy,6,Vowel teams,5,2,,vowel-team,1,,
leftovers,8,Compound words,9,3,left + over,r-controlled,1,8,
lens,1,Short-vowel CVC,4,1,,,2,,
leppa,9,Multisyllabic,5,2,,,5,,
letter,7,R-controlled,6,2,,r-controlled,2,7,
levee,6,Vowel teams,5,2,,vowel-team,1,6,
life,5,Silent-e,4,1,,silent-e,1,,
lift,1,Short-vowel CVC,4,1,,,1,,
light,6,Vowel teams,5,1,,vowel-team,12,,
lights,6,Vowel teams,6,1,,vowel-team,1,,
like,5,Silent-e,4,1,,silent-e,2,,
limestone,8,Compound words,9,3,lime + stone,silent-e,1,8,
loaded,6,Vowel teams,6,2,,vowel-team,1,,
locker,7,R-controlled,6,2,,r-controlled,1,,
log,1,Short-vowel CVC,3,1,,,7,,
lost,1,Short-vowel CVC,4,1,,,2,,
lucky,9,Multisyllabic,5,2,,,1,,
lum,1,Short-vowel CVC,3,1,,,1,,
lumber,7,R-controlled,6,2,,r-controlled,2,7,
lunch,4,Digraphs,5,1,,digraph,1,,
luxury,9,Multisyllabic,6,3,,r-controlled,6,,
machine,4,Digraphs,7,2,,"digraph, silent-e",5,,
magazine,9,Multisyllabic,8,3,,silent-e,1,,
magby,9,Multisyllabic,5,2,,,1,,
magikarp,9,Multisyllabic,8,3,,r-controlled,1,,
mailbox,8,Compound words,7,2,mail + box,vowel-team,1,8,
malicious,9,Multisyllabic,9,3,,vowel-team,1,,
map,1,Short-vowel CVC,3,1,,,1,,
marble,7,R-controlled,6,2,,r-controlled,3,7,
marshy,4,Digraphs,6,2,,"digraph, r-controlled",1,,
mat,1,Short-vowel CVC,3,1,,,3,,
meadow,6,Vowel teams,6,2,,vowel-team,1,,
melt,1,Short-vowel CVC,4,1,,,1,,
menu,9,Multisyllabic,4,2,,,1,,
metal,9,Multisyllabic,5,2,,,6,,
metallic,9,Multisyllabic,8,3,,,1,,
meteor,7,R-controlled,6,2,,r-controlled,7,,
mic,1,Short-vowel CVC,3,1,,,2,,
microscope,8,Compound words,10,3,micro + scope,silent-e,1,9,differs
microwave,8,Compound words,9,3,micro + wave,"silent-e, vowel-team",1,,
milk,1,Short-vowel CVC,4,1,,,1,,
mini,9,Multisyllabic,4,2,,,4,,
miracle,9,Multisyllabic,7,3,,r-controlled,1,,
mirror,7,R-controlled,6,2,,r-controlled,4,,
mixer,7,R-controlled,5,2,,r-controlled,2,,
model,9,Multisyllabic,5,2,,,2,,
modern,7,R-controlled,6,2,,r-controlled,4,,
molten,9,Multisyllabic,6,2,,,2,,
monitor,9,Multisyllabic,7,3,,r-controlled,1,,
moomoo,6,Vowel teams,6,2,,vowel-team,1,,
moonlight,8,Compound words,9,2,moon + light,vowel-team,2,,
mosaic,6,Vowel teams,6,2,,vowel-team,2,,
moss,2,Floss doubles,4,1,,floss,1,2,
mossy,9,Multisyllabic,5,2,,,3,,
mountain,6,Vowel teams,8,2,,vowel-team,1,,
mug,1,Short-vowel CVC,3,1,,,1,1,
mushroom,4,Digraphs,8,2,,"digraph, vowel-team",4,,
mushrooms,4,Digraphs,9,2,,"digraph, vowel-team",2,,
mysterious,9,Multisyllabic,10,3,,"r-controlled, vowel-team",5,,
mystic,9,Multisyllabic,6,2,,,1,,
naptime,9,Multisyllabic,7,2,,silent-e,1,,
narrow,7,R-controlled,6,2,,"r-controlled, vowel-team",2,,
neo,9,Multisyllabic,3,1,,,1,,
neon,9,Multisyllabic,4,1,,,1,,
never,7,R-controlled,5,2,,r-controlled,1,,
newspaper,8,Compound words,9,3,news + paper,"r-controlled, vowel-team",2,9,differs
ninja,9,Multisyllabic,5,2,,,1,,
nonburnable,9,Multisyllabic,11,4,,r-controlled,1,,
notepad,8,Compound words,7,3,note + pad,,2,8,
nugget,9,Multisyllabic,6,2,,,2,9,
oblong,9,Multisyllabic,6,2,,,1,,
ocean,6,Vowel teams,5,2,,vowel-team,2,,
of,9,Multisyllabic,2,1,,,1,,
offering,8,Compound words,8,3,offer + ing,r-controlled,1,,
office,8,Compound words,6,2,off + ice,silent-e,7,,
oil,6,Vowel teams,3,1,,vowel-team,2,,
open,9,Multisyllabic,4,2,,,1,,
orange,7,R-controlled,6,2,,r-controlled,3,,
orb,7,R-controlled,3,1,,r-controlled,3,,
ordinary,9,Multisyllabic,8,4,,r-controlled,3,,
ore,5,Silent-e,3,1,,silent-e,3,,
ornament,9,Multisyllabic,8,3,,r-controlled,1,,
oven,9,Multisyllabic,4,2,,,2,,
paint,6,Vowel teams,5,1,,vowel-team,8,,
painted,8,Compound words,7,2,pain + ted,vowel-team,1,,
painting,8,Compound words,8,2,paint + ing,vowel-team,1,,
pallet,9,Multisyllabic,6,2,,,1,,
palm,1,Short-vowel CVC,4,1,,,2,,
pan,1,Short-vowel CVC,3,1,,,2,,
pane,5,Silent-e,4,1,,silent-e,3,,
paper,7,R-controlled,5,2,,r-controlled,2,7,
papers,7,R-controlled,6,2,,r-controlled,2,,
paradise,9,Multisyllabic,8,3,,"silent-e, r-controlled",1,,
parasol,8,Compound words,7,3,para + sol,r-controlled,1,,
park,7,R-controlled,4,1,,r-controlled,1,,
partition,9,Multisyllabic,9,3,,r-controlled,1,,
party,7,R-controlled,5,2,,r-controlled,5,,
passionate,8,Compound words,10,3,passion + ate,silent-e,1,,
path,4,Digraphs,4,1,,digraph,1,,
patterned,9,Multisyllabic,9,3,,r-controlled,1,,
pc,9,Multisyllabic,2,1,,,1,,
pecha,4,Digraphs,5,2,,digraph,1,,
pedestal,9,Multisyllabic,8,3,,,1,,
pen,1,Short-vowel CVC,3,1,,,1,,
pencil,9,Multisyllabic,6,2,,,1,,
perch,4,Digraphs,5,1,,"digraph, r-controlled",1,4,
pewter,7,R-controlled,6,2,,"r-controlled, vowel-team",1,,
phone,4,Digraphs,5,1,,"digraph, silent-e",2,,
photo,4,Digraphs,5,2,,digraph,3,,
picnic,9,Multisyllabic,6,2,,,2,,
piece,5,Silent-e,5,1,,"silent-e, vowel-team",1,,
pikachu,4,Digraphs,7,3,,digraph,3,,
pile,9,Multisyllabic,4,2,,silent-e,2,,
pillar,7,R-controlled,6,2,,r-controlled,3,,
pink,1,Short-vowel CVC,4,1,,,4,,
pinwheels,8,Compound words,9,2,pin + wheels,"digraph, vowel-team",1,8,
pipe,5,Silent-e,4,1,,silent-e,1,,
