item,level,kind,words,components,component_levels,letters,longest_word,spellable
Study desk,3,compound,2,study + desk,3 + 1,9,5,yes
Tall grass,3,compound,2,tall + grass,2 + 3,9,5,yes
Arch bridge,4,compound,2,arch + bridge,4 + 3,10,6,yes
Beach chair,4,compound,2,beach + chair,4 + 4,10,5,yes
Beach sand,4,compound,2,beach + sand,4 + 1,9,5,yes
Cell phone,4,compound,2,cell + phone,2 + 4,9,5,yes
Chansey plant,4,compound,2,chansey + plant,4 + 3,12,7,yes
Charcoal,4,single,1,,,8,8,yes
Charizard rug,4,compound,2,charizard + rug,4 + 1,12,9,yes
Cloth wall,4,compound,2,cloth + wall,4 + 2,9,5,yes
Cushy wall,4,compound,2,cushy + wall,4 + 2,9,5,yes
Deck chair,4,compound,2,deck + chair,1 + 4,9,5,yes
Gold Teeth,4,compound,2,gold + teeth,1 + 4,9,5,yes
Grubby cell phone,4,compound,3,grubby + cell + phone,3 + 2 + 4,15,6,yes
Houndstooth print,4,compound,2,houndstooth + print,4 + 3,16,11,yes
Log chair,4,compound,2,log + chair,1 + 4,8,5,yes
Lunch box,4,compound,2,lunch + box,4 + 1,8,5,yes
Mushroom lamp,4,compound,2,mushroom + lamp,4 + 1,12,8,yes
Perch,4,single,1,,,5,5,yes
Pikachu doll,4,compound,2,pikachu + doll,4 + 2,11,7,yes
Pitcher-plant pot,4,compound,3,pitcher + plant + pot,4 + 3 + 1,15,7,yes
Raichu sign,4,compound,2,raichu + sign,4 + 1,10,6,yes
Sandwiches,4,single,1,,,10,10,yes
Shell lamp,4,compound,2,shell + lamp,4 + 1,9,5,yes
Shutter,4,single,1,,,7,7,yes
Smooth Rock,4,compound,2,smooth + rock,4 + 1,10,6,yes
South Province,4,compound,2,south + province,4 + 3,13,8,yes
Strength rock,4,compound,2,strength + rock,4 + 1,12,8,yes
Stylish bronze wall,4,compound,3,stylish + bronze + wall,4 + 3 + 2,17,7,yes
Stylish frying pan,4,compound,3,stylish + frying + pan,4 + 3 + 1,16,7,yes
Stylish gold wall,4,compound,3,stylish + gold + wall,4 + 1 + 2,15,7,yes
Stylish steps,4,compound,2,stylish + steps,4 + 3,12,7,yes
Torch,4,single,1,,,5,5,yes
Wall switch,4,compound,2,wall + switch,2 + 4,10,6,yes
Wall torch,4,compound,2,wall + torch,2 + 4,9,5,yes
Wheat,4,single,1,,,5,5,yes
Wheat plant,4,compound,2,wheat + plant,4 + 3,10,5,yes
Wheelbarrow,4,single,1,,,11,11,yes
White rock,4,compound,2,white + rock,4 + 1,9,5,yes
Bike,5,single,1,,,4,4,yes
Cave mushrooms,5,compound,2,cave + mushrooms,5 + 4,13,9,yes
Cave rock,5,compound,2,cave + rock,5 + 1,8,4,yes
Chili sauce,5,compound,2,chili + sauce,4 + 5,10,5,yes
Cute bed,5,compound,2,cute + bed,5 + 1,7,4,yes
Cute chair,5,compound,2,cute + chair,5 + 4,9,5,yes
Cute lamp,5,compound,2,cute + lamp,5 + 1,8,4,yes
Frame,5,single,1,,,5,5,yes
Glass pane,5,compound,2,glass + pane,3 + 5,9,5,yes
Gold ore,5,compound,2,gold + ore,1 + 5,7,4,yes
Ice,5,single,1,,,3,3,yes
Juice trio,5,compound,2,juice + trio,5 + 3,9,5,yes
Jump rope trophy,5,compound,3,jump + rope + trophy,1 + 5 + 4,14,6,yes
Lace rug,5,compound,2,lace + rug,5 + 1,7,4,yes
Photo frame,5,compound,2,photo + frame,4 + 5,10,5,yes
Plate,5,single,1,,,5,5,yes
Rare Bone,5,compound,2,rare + bone,5 + 5,8,4,yes
Rope,5,single,1,,,4,4,yes
Sand house kit,5,compound,3,sand + house + kit,1 + 5 + 1,12,5,yes
Scrap cube,5,compound,2,scrap + cube,3 + 5,9,5,yes
Shaved ice,5,compound,2,shaved + ice,4 + 5,9,6,yes
Slide,5,single,1,,,5,5,yes
Small square rug,5,compound,3,small + square + rug,3 + 5 + 1,14,6,yes
Small stage,5,compound,2,small + stage,3 + 5,10,5,yes
Small vase,5,compound,2,small + vase,3 + 5,9,5,yes
Square plant,5,compound,2,square + plant,5 + 3,11,6,yes
Stone,5,single,1,,,5,5,yes
Stone bench,5,compound,2,stone + bench,5 + 4,10,5,yes
Stone brick wall,5,compound,3,stone + brick + wall,5 + 3 + 2,14,5,yes
Stone den kit,5,compound,3,stone + den + kit,5 + 1 + 1,11,5,yes
Stone fragments,5,compound,2,stone + fragments,5 + 3,14,9,yes
Stone house kit,5,compound,3,stone + house + kit,5 + 5 + 1,13,5,yes
Stone hut kit,5,compound,3,stone + hut + kit,5 + 1 + 1,11,5,yes
Stone steps,5,compound,2,stone + steps,5 + 3,10,5,yes
Tires,5,single,1,,,5,5,yes
Traffic cone,5,compound,2,traffic + cone,3 + 5,11,7,yes
Twine,5,single,1,,,5,5,yes
Vine print,5,compound,2,vine + print,5 + 3,9,5,yes
Vine rope,5,compound,2,vine + rope,5 + 5,8,4,yes
Vines,5,single,1,,,5,5,yes
Wall photo frame,5,compound,3,wall + photo + frame,2 + 4 + 5,14,5,yes
Weather vane,5,compound,2,weather + vane,4 + 5,11,7,yes
Wide Lens,5,compound,2,wide + lens,5 + 1,8,4,yes
Wire,5,single,1,,,4,4,yes
Asphalt road,6,compound,2,asphalt + road,4 + 6,11,7,yes
Balloons,6,single,1,,,8,8,yes
Bean,6,single,1,,,4,4,yes
Bean plant,6,compound,2,bean + plant,6 + 3,9,5,yes
Big Root,6,compound,2,big + root,1 + 6,7,4,yes
Black paint,6,compound,2,black + paint,3 + 6,10,5,yes
Blue paint,6,compound,2,blue + paint,6 + 6,9,5,yes
Blue-green shoots,6,compound,3,blue + green + shoots,6 + 6 + 4,15,6,yes
Book,6,single,1,,,4,4,yes
Bread bowl,6,compound,2,bread + bowl,6 + 6,9,5,yes
Brick roof valley,6,compound,3,brick + roof + valley,3 + 6 + 6,15,6,yes
Broken window pane,6,compound,3,broken + window + pane,3 + 6 + 5,16,6,yes
Canoe,6,single,1,,,5,5,yes
Chocolate cookies,6,compound,2,chocolate + cookies,4 + 6,16,9,yes
Clay,6,single,1,,,4,4,yes
Cube light,6,compound,2,cube + light,5 + 6,9,5,yes
Desk light,6,compound,2,desk + light,1 + 6,9,5,yes
Dry blue-green shoots,6,compound,4,dry + blue + green + shoots,3 + 6 + 6 + 4,18,6,yes
Dry field grass,6,compound,3,dry + field + grass,3 + 6 + 3,13,5,yes
Dry green shoots,6,compound,3,dry + green + shoots,3 + 6 + 4,14,6,yes
Dry yellow-green shoots,6,compound,4,dry + yellow + green + shoots,3 + 6 + 6 + 4,20,6,yes
Eevee doll,6,compound,2,eevee + doll,6 + 2,9,5,yes
Field grass,6,compound,2,field + grass,6 + 3,10,5,yes
Flat brick roof,6,compound,3,flat + brick + roof,3 + 3 + 6,13,5,yes
Flat stone roof,6,compound,3,flat + stone + roof,3 + 5 + 6,13,5,yes
Flat tent roof,6,compound,3,flat + tent + roof,3 + 1 + 6,12,4,yes
Flat-leaf plant,6,compound,3,flat + leaf + plant,3 + 6 + 3,13,5,yes
Fluffy bread,6,compound,2,fluffy + bread,3 + 6,11,6,yes
Fountain plaza kit,6,compound,3,fountain + plaza + kit,6 + 3 + 1,16,8,yes
Freezing Chambers kit,6,compound,3,freezing + chambers + kit,6 + 4 + 1,19,8,yes
Glass window,6,compound,2,glass + window,3 + 6,11,6,yes
Glossy awning,6,compound,2,glossy + awning,3 + 6,12,6,yes
Gray hut kit,6,compound,3,gray + hut + kit,6 + 1 + 1,10,4,yes
Green paint,6,compound,2,green + paint,6 + 6,10,5,yes
Green shoots,6,compound,2,green + shoots,6 + 4,11,6,yes
Grubby book,6,compound,2,grubby + book,3 + 6,10,6,yes
Hatch window,6,compound,2,hatch + window,4 + 6,11,6,yes
Healthy soup,6,compound,2,healthy + soup,4 + 6,11,7,yes
Heat Rock,6,compound,2,heat + rock,6 + 1,8,4,yes
Honey,6,single,1,,,5,5,yes
Hot-spring spout,6,compound,3,hot + spring + spout,1 + 3 + 6,14,6,yes
Leaf,6,single,1,,,4,4,yes
Leaf den kit,6,compound,3,leaf + den + kit,6 + 1 + 1,10,4,yes
Leaf house kit,6,compound,3,leaf + house + kit,6 + 5 + 1,12,5,yes
Leaf hut kit,6,compound,3,leaf + hut + kit,6 + 1 + 1,10,4,yes
Leaf print,6,compound,2,leaf + print,6 + 3,9,5,yes
Leafy plant,6,compound,2,leafy + plant,6 + 3,10,5,yes
Levee,6,single,1,,,5,5,yes
Light Clay,6,compound,2,light + clay,6 + 6,9,5,yes
Light brown rock,6,compound,3,light + brown + rock,6 + 6 + 1,14,5,yes
Light wooden wall,6,compound,3,light + wooden + wall,6 + 6 + 2,15,6,yes
Loaded Dice,6,compound,2,loaded + dice,6 + 5,10,6,yes
Moomoo Milk Coffee,6,compound,3,moomoo + milk + coffee,6 + 1 + 6,16,6,yes
Mushroom soup,6,compound,2,mushroom + soup,4 + 6,12,8,yes
Ocean rock,6,compound,2,ocean + rock,6 + 1,9,5,yes
Palm tree stump,6,compound,3,palm + tree + stump,1 + 6 + 3,13,5,yes
Pikachu fountain kit,6,compound,3,pikachu + fountain + kit,4 + 6 + 1,18,8,yes
Pink paint,6,compound,2,pink + paint,1 + 6,9,5,yes
Pitched brick roof,6,compound,3,pitched + brick + roof,4 + 3 + 6,16,7,yes
Plain bed,6,compound,2,plain + bed,6 + 1,8,5,yes
Plain chair,6,compound,2,plain + chair,6 + 4,10,5,yes
Plain chest,6,compound,2,plain + chest,6 + 4,10,5,yes
Plain closet,6,compound,2,plain + closet,6 + 3,11,6,yes
Plain stand,6,compound,2,plain + stand,6 + 3,10,5,yes
Plain stool,6,compound,2,plain + stool,6 + 6,10,5,yes
Pointy tree,6,compound,2,pointy + tree,6 + 6,10,6,yes
Pointy tree stump,6,compound,3,pointy + tree + stump,6 + 6 + 3,15,6,yes
Pulley,6,single,1,,,6,6,yes
Quick Claw,6,compound,2,quick + claw,6 + 6,9,5,yes
Red paint,6,compound,2,red + paint,1 + 6,8,5,yes
Rough wall,6,compound,2,rough + wall,6 + 2,9,5,yes
Rowlet clock,6,compound,2,rowlet + clock,6 + 3,11,6,yes
Sash window,6,compound,2,sash + window,4 + 6,10,6,yes
Sea glass fragments,6,compound,3,sea + glass + fragments,6 + 3 + 3,17,9,yes
Seedot lamp,6,compound,2,seedot + lamp,6 + 1,10,6,yes
Sharp Beak,6,compound,2,sharp + beak,4 + 6,9,5,yes
Sloped stone roof,6,compound,3,sloped + stone + roof,3 + 5 + 6,15,6,yes
Sloped tent roof,6,compound,3,sloped + tent + roof,3 + 1 + 6,14,6,yes
Slowpoke rug,6,compound,2,slowpoke + rug,6 + 1,11,8,yes
Small round rug,6,compound,3,small + round + rug,3 + 6 + 1,13,5,yes
Soft seat,6,compound,2,soft + seat,1 + 6,8,4,yes
Squishy clay,6,compound,2,squishy + clay,4 + 6,11,7,yes
Stone roof valley,6,compound,3,stone + roof + valley,5 + 6 + 6,15,6,yes
Straw bed,6,compound,2,straw + bed,6 + 1,8,5,yes
Straw stool,6,compound,2,straw + stool,6 + 6,10,5,yes
String lights,6,compound,2,string + lights,3 + 6,12,6,yes
Striped soil,6,compound,2,striped + soil,3 + 6,11,7,yes
Stylish stool,6,compound,2,stylish + stool,4 + 6,12,7,yes
Tea set,6,compound,2,tea + set,6 + 1,6,3,yes
Tent roof valley,6,compound,3,tent + roof + valley,1 + 6 + 6,14,6,yes
Throat Spray,6,compound,2,throat + spray,4 + 6,11,6,yes
Tire toy,6,compound,2,tire + toy,5 + 6,7,4,yes
Toilet,6,single,1,,,6,6,yes
Towel rack,6,compound,2,towel + rack,6 + 1,9,5,yes
Town map,6,compound,2,town + map,6 + 1,7,4,yes
Toy blocks,6,compound,2,toy + blocks,6 + 3,9,6,yes
Treasure,6,single,1,,,8,8,yes
Twisted Spoon,6,compound,2,twisted + spoon,3 + 6,12,7,yes
Upright log,6,compound,2,upright + log,6 + 1,10,7,yes
Wall light,6,compound,2,wall + light,2 + 6,9,5,yes
White paint,6,compound,2,white + paint,4 + 6,10,5,yes
Window pane,6,compound,2,window + pane,6 + 5,10,6,yes
Wooden bed,6,compound,2,wooden + bed,6 + 1,9,6,yes
Wooden bench,6,compound,2,wooden + bench,6 + 4,11,6,yes
Wooden crate,6,compound,2,wooden + crate,6 + 5,11,6,yes
Wooden gate,6,compound,2,wooden + gate,6 + 5,10,6,yes
Wooden path,6,compound,2,wooden + path,6 + 4,10,6,yes
Wooden plate,6,compound,2,wooden + plate,6 + 5,11,6,yes
Wooden steps,6,compound,2,wooden + steps,6 + 3,11,6,yes
Wooden wall,6,compound,2,wooden + wall,6 + 2,10,6,yes
Yellow hut kit,6,compound,3,yellow + hut + kit,6 + 1 + 1,12,6,yes
Yellow paint,6,compound,2,yellow + paint,6 + 6,11,6,yes
Yellow rock,6,compound,2,yellow + rock,6 + 1,10,6,yes
Yellow tall grass,6,compound,3,yellow + tall + grass,6 + 2 + 3,15,6,yes
Yellow-green shoots,6,compound,3,yellow + green + shoots,6 + 6 + 4,17,6,yes
Zoom Lens,6,compound,2,zoom + lens,6 + 1,8,4,yes
Alarm clock,7,compound,2,alarm + clock,7 + 3,10,5,yes
Arcade machine,7,compound,2,arcade + machine,7 + 4,13,7,yes
Arched barrier,7,compound,2,arched + barrier,4 + 7,13,7,yes
Area Zero,7,compound,2,area + zero,7 + 7,8,4,yes
Armor fragment,7,compound,2,armor + fragment,7 + 3,13,8,yes
Arrow sign,7,compound,2,arrow + sign,7 + 1,9,5,yes
Aspear Berry,7,compound,2,aspear + berry,7 + 7,11,6,yes
Audio mixer,7,compound,2,audio + mixer,6 + 7,10,5,yes
Balloon poster,7,compound,2,balloon + poster,6 + 7,13,7,yes
Barrel,7,single,1,,,6,6,yes
Barren striped soil,7,compound,3,barren + striped + soil,7 + 3 + 6,17,7,yes
Bell Tower,7,compound,2,bell + tower,2 + 7,9,5,yes
Berry bed,7,compound,2,berry + bed,7 + 1,8,5,yes
Berry case,7,compound,2,berry + case,7 + 5,9,5,yes
Berry chair,7,compound,2,berry + chair,7 + 4,10,5,yes
Berry clock,7,compound,2,berry + clock,7 + 3,10,5,yes
Berry print,7,compound,2,berry + print,7 + 3,10,5,yes
Big storage box,7,compound,3,big + storage + box,1 + 7 + 1,13,7,yes
Blue meteor lamp,7,compound,3,blue + meteor + lamp,6 + 7 + 1,14,6,yes
Boat door,7,compound,2,boat + door,6 + 7,8,4,yes
Brainy door,7,compound,2,brainy + door,6 + 7,10,6,yes
Broken iron steps,7,compound,3,broken + iron + steps,3 + 7 + 3,15,6,yes
Bruised berry,7,compound,2,bruised + berry,6 + 7,12,7,yes
Card reader,7,compound,2,card + reader,7 + 7,10,6,yes
Carrot bread,7,compound,2,carrot + bread,7 + 6,11,6,yes
Cart,7,single,1,,,4,4,yes
Carved coarse rock,7,compound,3,carved + coarse + rock,7 + 7 + 1,16,6,yes
Carved red rock,7,compound,3,carved + red + rock,7 + 1 + 1,13,6,yes
Carved white rock,7,compound,3,carved + white + rock,7 + 4 + 1,15,6,yes
Carved yellow rock,7,compound,3,carved + yellow + rock,7 + 6 + 1,16,6,yes
Chesto Berry,7,compound,2,chesto + berry,4 + 7,11,6,yes
Clear Bell,7,compound,2,clear + bell,7 + 2,9,5,yes
Coarse rock,7,compound,2,coarse + rock,7 + 1,10,6,yes
Concert stage kit,7,compound,3,concert + stage + kit,7 + 5 + 1,15,7,yes
Cool bass guitar,7,compound,3,cool + bass + guitar,6 + 2 + 7,14,6,yes
Copper ore,7,compound,2,copper + ore,7 + 5,9,6,yes
Counter,7,single,1,,,7,7,yes
Crystal cluster,7,compound,2,crystal + cluster,3 + 7,14,7,yes
Curry print,7,compound,2,curry + print,7 + 3,10,5,yes
Curved eave,7,compound,2,curved + eave,7 + 5,10,6,yes
Cute dresser,7,compound,2,cute + dresser,5 + 7,11,7,yes
Cute flowers,7,compound,2,cute + flowers,5 + 7,11,7,yes
Drink poster,7,compound,2,drink + poster,3 + 7,11,6,yes
Dry verdant shoots,7,compound,3,dry + verdant + shoots,3 + 7 + 4,16,7,yes
Fern,7,single,1,,,4,4,yes
First aid kit,7,compound,3,first + aid + kit,7 + 6 + 1,11,5,yes
Flame Orb,7,compound,2,flame + orb,5 + 7,8,5,yes
Floor switch,7,compound,2,floor + switch,7 + 4,11,6,yes
Flower cushion,7,compound,2,flower + cushion,7 + 4,13,7,yes
Flower garland,7,compound,2,flower + garland,7 + 7,13,7,yes
Flower print,7,compound,2,flower + print,7 + 3,11,6,yes
Food counter,7,compound,2,food + counter,6 + 7,11,7,yes
Food poster,7,compound,2,food + poster,6 + 7,10,6,yes
Fresh Water,7,compound,2,fresh + water,4 + 7,10,5,yes
Fresh carrot,7,compound,2,fresh + carrot,4 + 7,11,6,yes
Furnace kit,7,compound,2,furnace + kit,7 + 1,10,7,yes
Game Corner,7,compound,2,game + corner,5 + 7,10,6,yes
Garbage bags,7,compound,2,garbage + bags,7 + 1,11,7,yes
Garbage bin,7,compound,2,garbage + bin,7 + 1,10,7,yes
Garden bench,7,compound,2,garden + bench,7 + 4,11,6,yes
Garden chair,7,compound,2,garden + chair,7 + 4,11,6,yes
Garden flowers,7,compound,2,garden + flowers,7 + 7,13,7,yes
Garden light,7,compound,2,garden + light,7 + 6,11,6,yes
Green meteor lamp,7,compound,3,green + meteor + lamp,6 + 7 + 1,15,6,yes
Growth poster,7,compound,2,growth + poster,4 + 7,12,6,yes
Grubby letter,7,compound,2,grubby + letter,3 + 7,12,6,yes
Grubby papers,7,compound,2,grubby + papers,3 + 7,12,6,yes
Hard Stone,7,compound,2,hard + stone,7 + 5,9,5,yes
Heart Scale,7,compound,2,heart + scale,7 + 3,10,5,yes
Horsea fountain,7,compound,2,horsea + fountain,7 + 6,14,8,yes
Ice cream poster,7,compound,3,ice + cream + poster,5 + 6 + 7,14,6,yes
Iron Ball,7,compound,2,iron + ball,7 + 2,8,4,yes
Iron beam,7,compound,2,iron + beam,7 + 6,8,4,yes
Iron bed,7,compound,2,iron + bed,7 + 1,7,4,yes
Iron bench,7,compound,2,iron + bench,7 + 4,9,5,yes
Iron chair,7,compound,2,iron + chair,7 + 4,9,5,yes
Iron door,7,compound,2,iron + door,7 + 7,8,4,yes
Iron gate,7,compound,2,iron + gate,7 + 5,8,4,yes
Iron ladder,7,compound,2,iron + ladder,7 + 7,10,6,yes
Iron ore,7,compound,2,iron + ore,7 + 5,7,4,yes
Iron pillar,7,compound,2,iron + pillar,7 + 7,10,6,yes
Iron pipes,7,compound,2,iron + pipes,7 + 5,9,5,yes
Iron plating,7,compound,2,iron + plating,7 + 3,11,7,yes
Iron rack,7,compound,2,iron + rack,7 + 1,8,4,yes
Iron scaffold,7,compound,2,iron + scaffold,7 + 3,12,8,yes
Iron stand,7,compound,2,iron + stand,7 + 3,9,5,yes
Iron steps,7,compound,2,iron + steps,7 + 3,9,5,yes
Iron wall,7,compound,2,iron + wall,7 + 2,8,4,yes
Lantern,7,single,1,,,7,7,yes
Large boulder,7,compound,2,large + boulder,7 + 7,12,7,yes
Large mirror,7,compound,2,large + mirror,7 + 7,11,6,yes
Large narrow rug,7,compound,3,large + narrow + rug,7 + 7 + 1,14,6,yes
Large palm tree,7,compound,3,large + palm + tree,7 + 1 + 6,13,5,yes
Large round rug,7,compound,3,large + round + rug,7 + 6 + 1,13,5,yes
Large wooden door,7,compound,3,large + wooden + door,7 + 6 + 7,15,6,yes
Laser sensor,7,compound,2,laser + sensor,7 + 7,11,6,yes
Letter,7,single,1,,,6,6,yes
Life Orb,7,compound,2,life + orb,5 + 7,7,4,yes
Lift platform,7,compound,2,lift + platform,1 + 7,12,8,yes
Lum Berry,7,compound,2,lum + berry,1 + 7,8,5,yes
Lumber,7,single,1,,,6,6,yes
Marble,7,single,1,,,6,6,yes
Meadow poster,7,compound,2,meadow + poster,6 + 7,12,6,yes
Mirror ball,7,compound,2,mirror + ball,7 + 2,10,6,yes
Modern door,7,compound,2,modern + door,7 + 7,10,6,yes
Modern sink,7,compound,2,modern + sink,7 + 1,10,6,yes
Modern wall,7,compound,2,modern + wall,7 + 2,10,6,yes
Mountain flowers,7,compound,2,mountain + flowers,6 + 7,15,8,yes
Never-Melt Ice,7,compound,3,never + melt + ice,7 + 1 + 5,12,5,yes
Ocean poster,7,compound,2,ocean + poster,6 + 7,11,6,yes
Oil lantern,7,compound,2,oil + lantern,6 + 7,10,7,yes
Orange hut kit,7,compound,3,orange + hut + kit,7 + 1 + 1,12,6,yes
Orange meteor lamp,7,compound,3,orange + meteor + lamp,7 + 7 + 1,16,6,yes
Paper,7,single,1,,,5,5,yes
Paper party cups,7,compound,3,paper + party + cups,7 + 7 + 1,14,5,yes
Papers,7,single,1,,,6,6,yes
Party platter,7,compound,2,party + platter,7 + 7,12,7,yes
Pecha Berry,7,compound,2,pecha + berry,4 + 7,10,5,yes
Planter,7,single,1,,,7,7,yes
Plaster wall,7,compound,2,plaster + wall,7 + 2,11,7,yes
Poison Barb,7,compound,2,poison + barb,6 + 7,10,6,yes
Pop art bed,7,compound,3,pop + art + bed,1 + 7 + 1,9,3,yes
Pop art chair,7,compound,3,pop + art + chair,1 + 7 + 4,11,5,yes
Pop art lamp,7,compound,3,pop + art + lamp,1 + 7 + 1,10,4,yes
Printer,7,single,1,,,7,7,yes
Push cart,7,compound,2,push + cart,4 + 7,8,4,yes
Rawst Berry,7,compound,2,rawst + berry,6 + 7,10,5,yes
Red crystal cluster,7,compound,3,red + crystal + cluster,1 + 3 + 7,17,7,yes
Red meteor lamp,7,compound,3,red + meteor + lamp,1 + 7 + 1,13,6,yes
Resort bed,7,compound,2,resort + bed,7 + 1,9,6,yes
Resort chair,7,compound,2,resort + chair,7 + 4,11,6,yes
Resort light,7,compound,2,resort + light,7 + 6,11,6,yes
Resort stool,7,compound,2,resort + stool,7 + 6,11,6,yes
Ring Target,7,compound,2,ring + target,1 + 7,10,6,yes
Roof support,7,compound,2,roof + support,6 + 7,11,7,yes
Rose Tower,7,compound,2,rose + tower,5 + 7,9,5,yes
Silk Scarf,7,compound,2,silk + scarf,1 + 7,9,5,yes
Silver Powder,7,compound,2,silver + powder,7 + 7,12,6,yes
Small garbage can,7,compound,3,small + garbage + can,3 + 7 + 1,15,7,yes
Small narrow rug,7,compound,3,small + narrow + rug,3 + 7 + 1,14,6,yes
Smelting furnace,7,compound,2,smelting + furnace,3 + 7,15,8,yes
Speaker,7,single,1,,,7,7,yes
Sprinkler,7,single,1,,,9,9,yes
Star Piece,7,compound,2,star + piece,7 + 5,9,5,yes
Star print,7,compound,2,star + print,7 + 3,9,5,yes
Sticky Barb,7,compound,2,sticky + barb,3 + 7,10,6,yes
Storage box,7,compound,2,storage + box,7 + 1,10,7,yes
Sturdy stick,7,compound,2,sturdy + stick,7 + 3,11,6,yes
Stylish door,7,compound,2,stylish + door,4 + 7,11,7,yes
Stylish iron wall,7,compound,3,stylish + iron + wall,4 + 7 + 2,15,7,yes
Swirl print,7,compound,2,swirl + print,7 + 3,10,5,yes
Tartan print,7,compound,2,tartan + print,7 + 3,11,6,yes
Technology poster,7,compound,2,technology + poster,4 + 7,16,10,yes
Verdant shoots,7,compound,2,verdant + shoots,7 + 4,13,7,yes
Wall mirror,7,compound,2,wall + mirror,2 + 7,10,6,yes
Wall storage box,7,compound,3,wall + storage + box,2 + 7 + 1,14,7,yes
Warning wall,7,compound,2,warning + wall,7 + 2,11,7,yes
Water pillar quarter,7,compound,3,water + pillar + quarter,7 + 7 + 7,18,7,yes
Wild Area,7,compound,2,wild + area,1 + 7,8,4,yes
Winter print,7,compound,2,winter + print,7 + 3,11,6,yes
Wooden ladder,7,compound,2,wooden + ladder,6 + 7,12,6,yes
Worn lumber,7,compound,2,worn + lumber,7 + 7,10,6,yes
Worn wooden crate,7,compound,3,worn + wooden + crate,7 + 6 + 5,15,6,yes
Yellow meteor lamp,7,compound,3,yellow + meteor + lamp,6 + 7 + 1,16,6,yes
Afternoon tea set,8,compound,3,afternoon + tea + set,8 + 6 + 1,15,9,yes
Antique bed,8,compound,2,antique + bed,8 + 1,10,7,yes
Antique chair,8,compound,2,antique + chair,8 + 4,12,7,yes
Antique chandelier,8,compound,2,antique + chandelier,8 + 4,17,10,yes
Antique chest,8,compound,2,antique + chest,8 + 4,12,7,yes
Antique clock,8,compound,2,antique + clock,8 + 3,12,7,yes
Antique closet,8,compound,2,antique + closet,8 + 3,13,7,yes
Antique dresser,8,compound,2,antique + dresser,8 + 7,14,7,yes
Bathtime set,8,compound,2,bathtime + set,8 + 1,11,8,yes
Bathtub,8,single,1,,,7,7,yes
Beach parasol,8,compound,2,beach + parasol,4 + 8,12,7,yes
Berry hanging lamp,8,compound,3,berry + hanging + lamp,7 + 8 + 1,16,7,yes
